Word,Documents (With Count)
distribuídas,"[(48, 1)]"
esconder,"[(48, 1), (216, 1), (398, 1), (403, 1), (602, 1), (603, 1)]"
assinada,"[(48, 1), (56, 1), (80, 2), (167, 2), (185, 1), (273, 1)]"
desconfortos,"[(48, 1)]"
declarações,"[(48, 1), (86, 1), (130, 1), (132, 1), (192, 3), (193, 1), (212, 1), (255, 1), (304, 1), (309, 1), (324, 1), (376, 1), (390, 1), (393, 1), (398, 1), (467, 1), (471, 1), (514, 2), (519, 1), (526, 2), (543, 1), (581, 1), (590, 1)]"
celebrações,"[(48, 1)]"
instalou,"[(48, 1), (185, 1), (192, 1), (268, 1), (525, 1)]"
humana,"[(48, 1), (51, 1), (76, 1), (208, 1), (256, 1), (288, 1), (496, 1)]"
décadas,"[(48, 1), (96, 1), (98, 1), (108, 1), (127, 1), (166, 1), (167, 1), (179, 1), (185, 1), (207, 1), (264, 1), (427, 1), (433, 1), (445, 1), (545, 3), (551, 1), (559, 1), (579, 1), (632, 1)]"
comemorassem,"[(48, 1)]"
planejam,"[(48, 1)]"
radialistas,"[(48, 1)]"
civil-militar,"[(48, 1), (283, 1), (324, 1)]"
cobertura,"[(48, 1), (71, 1), (200, 1), (457, 1), (566, 1)]"
comunicação,"[(48, 2), (71, 1), (113, 1), (158, 2), (174, 1), (179, 1), (255, 1), (289, 2), (367, 1), (394, 1), (404, 1), (457, 1), (480, 1), (519, 1)]"
ebc,"[(48, 5)]"
mpf,"[(48, 1), (62, 1), (266, 4), (380, 2), (608, 1)]"
ebc.,"[(48, 1)]"
vetadas,"[(48, 1)]"
aniversário,"[(48, 1), (55, 1), (112, 1), (121, 1), (192, 1), (267, 2), (322, 1), (380, 2)]"
termo,"[(48, 1), (128, 1), (130, 1), (137, 1), (174, 1), (229, 1), (238, 1), (249, 1), (324, 1), (433, 1), (545, 1), (554, 1), (577, 1)]"
reportagens,"[(48, 2), (132, 1), (163, 1), (289, 1), (345, 1), (548, 1), (553, 1), (566, 1)]"
evitar,"[(48, 1), (99, 1), (179, 1), (210, 1), (285, 1), (289, 1), (376, 1), (424, 1), (471, 1), (519, 2), (525, 1)]"
comemoração,"[(48, 1), (192, 1), (236, 1), (260, 1), (289, 1), (292, 1), (471, 1)]"
compromisso,"[(48, 1), (57, 1), (62, 1), (128, 1), (166, 1), (208, 1), (457, 1), (525, 1), (526, 1), (572, 2), (585, 1)]"
trazem,"[(48, 1), (57, 1), (134, 1), (331, 1)]"
radioagência,"[(48, 1)]"
paulo.matérias,"[(48, 1)]"
presas,"[(48, 1)]"
vozes,"[(48, 1), (146, 1), (448, 1)]"
recomendações,"[(48, 1), (158, 1), (279, 1)]"
judicialmente,"[(48, 1)]"
dignidade,"[(48, 1), (76, 1), (288, 1), (519, 1)]"
estupradas,"[(48, 1)]"
negar,"[(48, 1), (51, 2), (61, 1), (66, 1), (81, 1), (158, 1), (223, 1), (324, 1), (354, 1), (566, 1)]"
concordarem,"[(48, 1)]"
sugeriu,"[(48, 1), (283, 1), (292, 1), (379, 1), (457, 1), (478, 1), (531, 1), (577, 1), (633, 1)]"
vestir,"[(48, 1), (165, 3), (236, 1)]"
comemorações,"[(48, 1), (71, 1), (182, 1), (192, 1), (223, 2), (226, 1), (380, 3), (471, 1)]"
matérias,"[(48, 1), (57, 1), (61, 1), (99, 1), (289, 1), (345, 1), (376, 1), (572, 1), (593, 1)]"
censuradas,"[(48, 1)]"
pluralidade,"[(48, 1), (122, 1), (283, 1)]"
seguiram,"[(48, 1), (121, 1), (390, 1), (577, 1)]"
estatal,"[(48, 1), (55, 1), (134, 1), (266, 4), (304, 1), (345, 1), (480, 1)]"
proibição,"[(48, 1), (61, 2), (445, 1)]"
denunciam,"[(48, 1), (367, 1), (582, 1)]"
dever,"[(48, 1), (82, 1), (198, 1), (354, 1)]"
tentem,"[(48, 1)]"
narrativa,"[(48, 1), (121, 1), (158, 1), (214, 1), (236, 1), (243, 2), (324, 1), (380, 1), (397, 1), (566, 2)]"
artistas,"[(48, 1), (55, 2), (174, 2), (236, 1), (278, 1), (460, 1), (583, 1), (600, 1)]"
substituído,"[(48, 1), (166, 1)]"
lembrar,"[(48, 1), (59, 1), (97, 1), (108, 1), (167, 1), (214, 1), (278, 1), (294, 3), (530, 1), (611, 1), (630, 1)]"
sistematicamente,"[(48, 1), (466, 1), (584, 1)]"
pretende,"[(48, 1), (119, 1), (128, 1), (134, 1), (249, 1), (294, 2), (340, 1), (367, 2), (418, 1)]"
nota.o,"[(48, 1), (471, 1)]"
barrados,"[(48, 1)]"
danoso,"[(48, 1), (488, 1)]"
dpu,"[(48, 1), (380, 4)]"
partiu,"[(48, 1), (51, 1), (237, 1), (361, 1), (630, 1)]"
desistam,"[(48, 1)]"
demitidas,"[(48, 1)]"
gestores,"[(48, 1), (68, 1)]"
prejuízos,"[(48, 1), (98, 1), (153, 1), (294, 1)]"
exiladas,"[(48, 1)]"
honesta,"[(48, 1)]"
protestar,"[(48, 1)]"
democrático,"[(48, 1), (51, 1), (122, 4), (138, 1), (145, 1), (182, 3), (183, 1), (192, 2), (198, 1), (285, 1), (294, 1), (354, 1), (357, 1), (367, 1), (380, 5), (447, 1), (465, 1), (470, 1), (496, 1), (519, 2), (545, 3), (584, 1), (623, 1), (627, 1)]"
defensoria,"[(48, 1), (160, 1), (380, 3), (477, 1)]"
31,"[(48, 1), (71, 2), (94, 1), (171, 3), (192, 1), (224, 1), (227, 1), (236, 7), (285, 1), (304, 1), (305, 1), (309, 3), (324, 3), (427, 1), (460, 1), (523, 1), (525, 1), (542, 1), (551, 1), (579, 1), (592, 1)]"
vésperas,"[(48, 1), (114, 1), (182, 1), (322, 1), (623, 1)]"
repita,"[(48, 1)]"
operários,"[(48, 1), (171, 1)]"
minimizar,"[(48, 1)]"
praticados,"[(48, 1), (61, 1), (454, 1)]"
taliriapetrone,"[(49, 1)]"
carne,"[(49, 1), (76, 1), (98, 1), (104, 3), (409, 1), (483, 2), (496, 1)]"
petrone,"[(49, 1), (534, 2)]"
talíria,"[(49, 1), (534, 3)]"
sabe,"[(49, 1), (55, 1), (66, 2), (102, 1), (119, 1), (124, 1), (153, 1), (160, 1), (162, 2), (174, 3), (185, 1), (214, 1), (224, 1), (236, 1), (239, 1), (252, 1), (264, 1), (279, 1), (294, 2), (309, 1), (318, 1), (319, 1), (324, 1), (327, 2), (331, 1), (361, 2), (368, 1), (379, 1), (384, 1), (396, 1), (398, 2), (430, 1), (443, 1), (486, 1), (488, 2), (525, 2), (549, 3), (550, 2), (552, 1), (554, 1), (557, 2), (586, 1), (596, 1), (615, 1), (627, 1), (629, 2)]"
barata,"[(49, 1), (223, 1), (483, 1)]"
saem,"[(50, 1), (194, 1), (583, 1)]"
eduardo,"[(50, 1), (52, 1), (57, 2), (66, 1), (82, 1), (94, 1), (99, 1), (108, 1), (132, 1), (158, 1), (164, 1), (252, 1), (263, 1), (268, 1), (282, 3), (283, 1), (289, 1), (297, 1), (331, 1), (338, 1), (409, 1), (451, 1), (457, 1), (480, 1), (496, 1), (517, 1), (525, 1), (530, 1), (542, 1), (544, 1), (548, 2), (582, 1), (593, 1), (597, 5), (611, 1)]"
destituiu,"[(50, 1)]"
amplo,"[(50, 1), (130, 1), (134, 1), (179, 1), (210, 1), (572, 1)]"
bolsonaro🇧🇷,"[(50, 1), (94, 1)]"
ensinou,"[(50, 1), (167, 2), (237, 1), (586, 2)]"
bolsonarosp,"[(50, 1), (94, 1), (597, 1)]"
terceira,"[(51, 1), (119, 1), (545, 1), (586, 1)]"
videla,"[(51, 1)]"
marxismo,"[(51, 1), (57, 2), (166, 2), (501, 1)]"
renúncia,"[(51, 1), (185, 1), (277, 2), (304, 1), (442, 1), (577, 3)]"
goulart,"[(51, 4), (124, 1), (167, 2), (171, 2), (324, 3), (442, 1)]"
itamaraty,"[(51, 1)]"
homenageou,"[(51, 1), (113, 1), (153, 1)]"
nacionais,"[(51, 1), (127, 1), (162, 1), (179, 1), (266, 1), (304, 1), (572, 1), (632, 1)]"
brincadeira,"[(51, 1), (69, 1), (108, 1), (362, 1), (544, 1), (627, 1)]"
corrigir,"[(51, 1), (135, 1), (239, 1), (503, 1)]"
apagar,"[(51, 1), (57, 1), (270, 1)]"
brizola.deixou,"[(51, 1)]"
trabalhismo,"[(51, 1)]"
privada.esse,"[(51, 1)]"
país.confira,"[(51, 1)]"
enxergam.o,"[(51, 1)]"
interno,"[(51, 1), (60, 1), (118, 1), (294, 1), (572, 1), (593, 1)]"
arquivo,"[(51, 1), (82, 1), (454, 1), (577, 1)]"
gerar,"[(51, 1), (55, 1), (80, 1), (134, 1), (155, 1), (167, 1), (192, 1), (297, 1), (454, 1), (457, 1), (525, 1), (555, 1), (611, 1)]"
pequenos,"[(51, 1), (127, 1), (239, 1), (306, 1), (457, 1), (519, 2), (568, 1)]"
evandro,"[(51, 1)]"
tuiteiro,"[(51, 1)]"
stroessner,"[(51, 1), (153, 1), (309, 2)]"
psb,"[(51, 1), (86, 1), (99, 1), (138, 1), (294, 3)]"
espécie,"[(51, 1), (86, 1), (103, 1), (112, 1), (137, 1), (158, 1), (162, 1), (256, 1), (294, 1), (404, 1), (448, 1), (480, 1), (488, 1), (535, 1), (551, 1), (555, 1), (559, 1), (586, 1), (627, 1)]"
conjunção,"[(51, 1)]"
ribeiro,"[(51, 1), (57, 1), (433, 1), (550, 1)]"
ampliar,"[(51, 1), (80, 1), (243, 1), (301, 1), (304, 1), (454, 1)]"
partindo,"[(51, 1), (210, 1)]"
superação,"[(51, 1), (138, 3), (283, 1)]"
fundadores,"[(51, 1), (57, 1), (158, 1), (545, 1), (572, 1)]"
agrícolas,"[(51, 1)]"
permanecer,"[(51, 1), (166, 1)]"
divergências,"[(51, 1), (166, 2), (264, 1), (585, 1)]"
fantasma,"[(51, 1), (145, 1), (309, 1)]"
civilizado,"[(51, 1), (214, 1), (526, 1), (632, 1)]"
sítios,"[(51, 1)]"
seguinte,"[(51, 1), (60, 1), (102, 1), (119, 1), (249, 1), (252, 1), (270, 1), (289, 1), (396, 1), (415, 1), (418, 1), (442, 1), (457, 1), (507, 1), (525, 1), (553, 1), (577, 1), (608, 1), (625, 1)]"
naquele,"[(51, 1), (73, 1), (124, 1), (130, 1), (138, 1), (172, 1), (207, 1), (291, 1), (457, 1), (477, 1), (579, 1), (596, 1)]"
ruptura,"[(51, 1), (103, 1), (585, 1)]"
criando,"[(51, 1), (208, 1), (372, 1), (627, 1)]"
destruindo,"[(51, 1), (60, 1), (608, 1)]"
recuou,"[(51, 1), (192, 1), (229, 1)]"
silva.não,"[(51, 1)]"
arcabouço,"[(51, 1)]"
corresponde,"[(51, 1)]"
aconteceu.nossa,"[(51, 1)]"
parcelas,"[(51, 1), (273, 1)]"
títere,"[(51, 1)]"
desceu,"[(51, 1), (55, 1)]"
64,"[(51, 3), (122, 2), (223, 1), (226, 1), (251, 4), (260, 1), (289, 1), (291, 2), (305, 1), (309, 1), (590, 1)]"
corrente,"[(51, 1), (67, 1), (278, 1)]"
oposições,"[(51, 1), (138, 1), (488, 1)]"
1200,"[(51, 1), (566, 1)]"
superar,"[(51, 1), (127, 1), (256, 1), (404, 1), (619, 1)]"
votação,"[(51, 1), (57, 1), (195, 1), (248, 2), (376, 1), (404, 1), (409, 1), (418, 1), (424, 1), (505, 1), (534, 3), (577, 1), (583, 1)]"
nacionalistas,"[(51, 1), (121, 1)]"
trabalho.reforma,"[(51, 1)]"
adolescência,"[(51, 1), (57, 1), (252, 1)]"
palhaçadas.essa,"[(51, 1)]"
solidariedade.não,"[(51, 1)]"
atores,"[(51, 1), (99, 1), (129, 1), (165, 1), (248, 1), (304, 1), (306, 1), (376, 2), (379, 1)]"
1956,"[(51, 1), (208, 1)]"
universidades,"[(51, 1), (57, 1), (98, 1), (122, 1), (162, 1), (174, 1), (179, 1), (182, 1), (243, 2), (433, 1), (471, 2), (566, 1)]"
históricos,"[(51, 1), (179, 1)]"
nacional-desenvolvimentismo,"[(51, 2)]"
cria,"[(51, 2), (137, 2), (174, 1), (208, 1), (297, 1), (396, 1), (568, 1), (585, 1)]"
deuses,"[(51, 1), (465, 3), (470, 3), (519, 1)]"
atitude,"[(51, 1), (56, 1), (86, 1), (121, 1), (163, 1), (208, 2), (249, 1), (367, 1), (390, 1), (424, 1), (516, 1), (531, 1), (590, 1)]"
competência,"[(51, 1), (102, 1), (424, 4), (572, 1), (582, 1)]"
primavera,"[(51, 1)]"
remessa,"[(51, 1)]"
acompanhando,"[(51, 1), (548, 1), (550, 1), (603, 1), (623, 1)]"
benéficas,"[(51, 1)]"
constitucional,"[(51, 1), (62, 3), (99, 1), (102, 1), (122, 1), (128, 2), (166, 2), (195, 1), (210, 2), (248, 1), (288, 3), (304, 1), (365, 1), (380, 3), (424, 1), (430, 1), (442, 2), (525, 1), (568, 1), (590, 1), (623, 1)]"
geraria,"[(51, 1), (80, 1)]"
desenvolvimentismo,"[(51, 1)]"
desenvolveria,"[(51, 1)]"
academia,"[(51, 1), (127, 1)]"
propriedade,"[(51, 3), (59, 1), (62, 1), (103, 2), (121, 1), (207, 1), (208, 1), (229, 2), (327, 1), (513, 1), (566, 1)]"
faz.enfim,"[(51, 1)]"
infância,"[(51, 1), (174, 2), (208, 1), (256, 1), (390, 1), (466, 1), (549, 1), (557, 1), (566, 1), (628, 1), (629, 1)]"
privado,"[(51, 1), (138, 1), (157, 1), (289, 1), (294, 1), (519, 1)]"
19,"[(51, 1), (62, 1), (76, 1), (82, 2), (123, 1), (146, 1), (158, 2), (201, 1), (216, 1), (278, 1), (289, 1), (332, 1), (343, 1), (391, 1), (403, 1), (407, 1), (417, 1), (418, 1), (431, 1), (442, 2), (465, 1), (506, 1), (525, 2), (561, 1), (576, 1), (577, 1), (593, 1), (628, 1)]"
comemora,"[(51, 1), (165, 1), (185, 1), (379, 1)]"
respeitou,"[(51, 1)]"
barreira.em,"[(51, 1)]"
salário.o,"[(51, 1)]"
emergência,"[(51, 1), (207, 1), (248, 3)]"
furtado,"[(51, 1), (167, 1)]"
x-9,"[(51, 1)]"
prepara,"[(51, 1), (134, 1), (229, 1)]"
belicoso,"[(51, 1)]"
palanque.no,"[(51, 1)]"
clt,"[(51, 1), (167, 1), (525, 1)]"
proprietários,"[(51, 1)]"
lutaram,"[(51, 2), (236, 1), (525, 1), (545, 1), (572, 1)]"
uruguai,"[(51, 1), (82, 1), (109, 1), (130, 1), (145, 1), (442, 1), (514, 1), (583, 2), (585, 3)]"
salu,"[(51, 1)]"
incompetência,"[(51, 3), (194, 1), (294, 1), (345, 1), (404, 1)]"
posições,"[(51, 1), (60, 3), (104, 1), (187, 1), (252, 1), (256, 1), (276, 1), (332, 1), (354, 1), (359, 1), (367, 1), (488, 1), (627, 1)]"
constituição.às,"[(51, 1)]"
rechaça,"[(51, 1)]"
deve-se,"[(51, 2), (289, 2), (424, 1)]"
pacificação,"[(51, 1), (260, 1), (309, 1), (596, 1)]"
mr-8,"[(51, 1)]"
pressupõe,"[(51, 1), (376, 1)]"
atingiram,"[(51, 1), (457, 1), (552, 1)]"
segurar,"[(51, 1)]"
histórico.a,"[(51, 1)]"
mercantilização,"[(51, 1)]"
pregando,"[(51, 1)]"
deposto,"[(51, 1), (171, 1), (309, 1)]"
assemelha,"[(51, 1), (239, 1)]"
subversivos,"[(51, 2)]"
herdeira,"[(51, 1), (573, 1)]"
darcy,"[(51, 1)]"
seio,"[(51, 1), (239, 1)]"
preceitos,"[(51, 2), (122, 1)]"
derrubaram,"[(51, 1)]"
raciocinar,"[(51, 1)]"
incapaz,"[(51, 1), (331, 1), (519, 1)]"
privatizações,"[(51, 1), (304, 1)]"
assessor,"[(51, 1), (56, 1), (57, 1), (91, 1), (122, 1), (229, 1), (457, 3), (548, 1), (573, 1), (577, 1)]"
política.esse,"[(51, 1)]"
nascido,"[(51, 1), (309, 1), (501, 1), (551, 1)]"
trabalhador,"[(51, 1), (55, 1), (76, 1), (126, 1), (167, 1), (210, 2), (273, 1), (294, 1), (534, 1), (602, 1)]"
pretendia,"[(51, 1)]"
46,"[(51, 1), (252, 1), (379, 1)]"
através,"[(51, 1), (56, 1), (57, 1), (62, 1), (130, 1), (138, 1), (145, 1), (146, 1), (172, 1), (174, 1), (207, 1), (248, 1), (249, 1), (264, 1), (289, 6), (294, 1), (331, 1), (376, 2), (427, 1), (444, 1), (450, 1), (465, 1), (470, 1), (526, 1), (534, 1), (544, 1), (550, 1), (559, 1), (568, 1), (572, 2), (579, 1), (603, 1), (611, 1), (627, 1)]"
pais,"[(51, 1), (57, 2), (63, 1), (82, 3), (167, 1), (185, 1), (239, 1), (352, 2), (373, 1), (393, 1), (501, 1), (543, 1), (566, 1)]"
viveu,"[(51, 1), (73, 1), (138, 1), (167, 1), (179, 1), (235, 1), (354, 1)]"
pátria,"[(51, 2), (57, 1), (146, 1), (219, 1), (582, 1)]"
jango,"[(51, 2), (174, 1), (442, 4)]"
demonstrar,"[(51, 1), (58, 1), (64, 1), (82, 1), (137, 2), (331, 1), (404, 1)]"
pinochet,"[(51, 1), (153, 1), (280, 1), (309, 2), (526, 1)]"
seguia,"[(51, 1), (289, 1)]"
indústria,"[(51, 1), (96, 3), (108, 1), (123, 1), (345, 1), (372, 2), (525, 8), (572, 2)]"
fortalecer,"[(51, 1), (572, 1)]"
ideológicas,"[(51, 1), (99, 1), (174, 1), (183, 1), (185, 1), (249, 1), (566, 1)]"
celebração,"[(51, 1), (192, 2), (223, 1), (309, 1), (542, 2)]"
torturadores,"[(51, 1), (208, 1), (219, 1), (236, 1), (283, 1), (291, 1), (514, 1)]"
impediu,"[(51, 1), (62, 1), (192, 1), (306, 1)]"
cabe,"[(51, 1), (59, 1), (137, 1), (198, 1), (217, 1), (304, 1), (376, 1), (424, 1), (514, 1), (555, 1), (631, 1)]"
freire,"[(51, 1), (57, 1), (167, 8), (179, 1), (322, 1), (477, 1), (492, 1)]"
exílio,"[(51, 1), (82, 1), (260, 1), (370, 1), (603, 2)]"
fontella,"[(51, 1)]"
pdt,"[(51, 2), (138, 1), (249, 3), (294, 2), (431, 1), (552, 1)]"
liberados,"[(51, 1)]"
ppl,"[(51, 1)]"
propostas,"[(51, 1), (57, 2), (80, 1), (99, 1), (134, 1), (138, 1), (207, 1), (232, 1), (249, 1), (252, 1), (264, 1), (273, 1), (285, 1), (448, 2), (523, 1), (526, 1), (545, 2), (551, 1), (572, 1), (583, 1)]"
lucros,"[(51, 2), (179, 1), (294, 1), (531, 1)]"
tratores,"[(51, 1)]"
acidente,"[(51, 1), (59, 1), (160, 1), (412, 1), (517, 1), (606, 2)]"
ditadura.lamento,"[(51, 1)]"
posicionamento,"[(51, 1), (76, 1), (104, 1), (283, 1), (433, 1), (448, 1)]"
implementos,"[(51, 1)]"
confirmar,"[(51, 1), (62, 1), (146, 1)]"
eua,"[(51, 1), (55, 2), (130, 1), (137, 1), (146, 1), (174, 1), (207, 1), (235, 1), (243, 1), (266, 2), (289, 1), (313, 1), (403, 1), (433, 1), (455, 2), (492, 1), (572, 2), (573, 2), (577, 1), (583, 6), (593, 1)]"
novos,"[(51, 2), (56, 1), (76, 1), (121, 1), (123, 2), (127, 1), (145, 1), (167, 1), (185, 1), (210, 1), (237, 1), (264, 1), (289, 1), (331, 1), (372, 1), (380, 1), (418, 1), (526, 1), (535, 2)]"
individualmente,"[(51, 1), (252, 1)]"
lins,"[(51, 1), (179, 1)]"
memorial,"[(51, 1), (108, 1), (146, 1)]"
henrique,"[(51, 1), (81, 1), (108, 1), (121, 2), (138, 1), (148, 1), (182, 1), (278, 1), (338, 1), (374, 1), (480, 1), (488, 1), (545, 1)]"
tio,"[(51, 1), (182, 1)]"
anistia,"[(51, 1), (179, 1), (192, 1), (283, 1), (309, 1), (354, 2), (603, 1)]"
externa,"[(51, 1), (477, 1)]"
ideias,"[(51, 1), (57, 2), (60, 1), (122, 1), (124, 1), (138, 1), (158, 1), (172, 1), (174, 1), (179, 1), (193, 1), (207, 1), (264, 1), (289, 1), (297, 1), (376, 1), (395, 1), (545, 1), (572, 1)]"
abaixo.sinceramente,"[(51, 1)]"
sul.o,"[(51, 1), (457, 1)]"
anti-democrático.a,"[(51, 1)]"
evitando,"[(51, 1), (130, 2), (147, 1), (282, 1), (480, 1), (551, 1)]"
estourar,"[(51, 1), (239, 1)]"
dividindo,"[(51, 1), (76, 1)]"
2017,"[(51, 1), (57, 1), (76, 2), (80, 1), (99, 2), (103, 3), (104, 1), (108, 1), (123, 1), (160, 1), (195, 1), (249, 1), (374, 1), (525, 3), (553, 1), (566, 1), (577, 1), (585, 1), (633, 1)]"
beato,"[(51, 1)]"
memória,"[(51, 2), (59, 1), (64, 1), (82, 2), (112, 2), (121, 2), (132, 1), (236, 1), (297, 1), (354, 1), (380, 2), (483, 1), (573, 1)]"
necessários,"[(51, 1), (167, 1), (210, 1), (308, 1), (322, 1), (444, 1), (505, 1)]"
apartei,"[(51, 1)]"
propor,"[(51, 1), (166, 1), (223, 1), (627, 2)]"
dornelles,"[(51, 1)]"
lucro,"[(51, 1), (158, 1), (162, 1), (167, 1), (294, 1), (568, 1)]"
dúvida,"[(51, 2), (57, 2), (62, 1), (121, 1), (158, 1), (193, 1), (251, 1), (272, 1), (306, 1), (324, 2), (380, 1), (519, 1), (551, 1), (573, 1), (597, 1), (615, 1)]"
tortura,"[(51, 1), (57, 1), (71, 1), (82, 1), (165, 1), (171, 1), (179, 1), (192, 2), (208, 1), (212, 1), (216, 1), (219, 1), (223, 1), (236, 2), (260, 1), (324, 2), (354, 1), (393, 1), (407, 1), (526, 1), (543, 1), (545, 1), (568, 3), (573, 3)]"
reunificação,"[(51, 1)]"
capaz,"[(51, 1), (145, 1), (158, 2), (219, 1), (237, 1), (256, 1), (268, 1), (294, 1), (297, 1), (327, 1), (519, 1), (572, 1)]"
retirando,"[(51, 1)]"
constituinte,"[(51, 1), (128, 1), (162, 1)]"
rollemberg,"[(51, 1)]"
thereza,"[(51, 1), (76, 1)]"
contra-golpe,"[(51, 2)]"
constitucionais.houve,"[(51, 1)]"
puniu,"[(51, 1)]"
previdência.o,"[(51, 1), (238, 1)]"
vendo,"[(51, 1), (135, 1), (252, 1), (278, 1), (297, 1), (627, 1), (633, 1)]"
trazendo,"[(51, 1), (239, 1), (289, 1), (459, 1), (568, 1), (597, 2)]"
nacional…,"[(51, 1)]"
sigla,"[(51, 1), (266, 1), (586, 1), (635, 1)]"
afastando,"[(51, 1)]"
legenda,"[(51, 1), (86, 1), (121, 2), (149, 1), (174, 1), (282, 1), (331, 1), (346, 1), (534, 1), (623, 1)]"
torturador,"[(51, 1), (174, 1), (219, 1), (478, 2)]"
aberto,"[(51, 1), (57, 1), (137, 3), (146, 1), (195, 1), (276, 1), (315, 1), (355, 1), (445, 1), (514, 1), (586, 1), (592, 1), (603, 1)]"
conscientização,"[(51, 1), (174, 2)]"
derrotar,"[(51, 1), (505, 1)]"
surpreendeu,"[(51, 1), (60, 1), (73, 1), (108, 1), (295, 1), (444, 1), (615, 1)]"
tributária,"[(51, 1), (525, 1)]"
cláusula,"[(51, 2), (534, 1)]"
geladeiras,"[(51, 1)]"
grave.acho,"[(51, 1)]"
pc,"[(51, 4), (514, 1)]"
dinamiza,"[(51, 1)]"
cassações,"[(51, 1), (61, 1), (380, 1)]"
emanam,"[(51, 1)]"
consumo,"[(51, 1), (80, 2), (98, 1), (174, 1), (179, 1), (345, 1), (610, 1)]"
recusa,"[(51, 1), (212, 1), (454, 1)]"
tributar,"[(51, 2)]"
auto-anistia,"[(51, 1)]"
advogada,"[(51, 1), (76, 1), (103, 1), (123, 1), (403, 1), (448, 1), (581, 1)]"
florescer,"[(51, 1)]"
saudades,"[(51, 1)]"
adianta,"[(51, 2), (155, 1), (252, 1), (480, 1)]"
necessita,"[(51, 1)]"
jamais,"[(51, 1), (62, 3), (63, 1), (72, 1), (97, 1), (121, 1), (130, 1), (147, 1), (162, 2), (165, 1), (212, 1), (226, 1), (229, 1), (278, 1), (465, 1), (470, 1), (471, 1), (496, 1), (525, 3), (546, 1), (551, 2), (559, 1), (566, 1), (602, 3)]"
violaram,"[(51, 1)]"
leonel,"[(51, 1), (248, 1), (376, 2)]"
vicente,"[(51, 1), (67, 1)]"
miliciano,"[(51, 1), (406, 2), (634, 1)]"
lançar,"[(52, 1), (96, 1), (133, 1), (457, 1), (579, 1)]"
jato,"[(52, 1), (56, 1), (105, 2), (130, 2), (133, 1), (137, 1), (138, 1), (146, 2), (182, 1), (198, 2), (217, 1), (223, 3), (224, 3), (266, 3), (304, 1), (308, 3), (367, 5), (368, 2), (372, 2), (388, 1), (396, 2), (398, 3), (404, 1), (424, 1), (445, 4), (480, 9), (484, 1), (535, 1), (542, 1), (584, 2), (603, 1), (608, 1)]"
consagrados,"[(52, 1), (545, 1)]"
18h,"[(52, 1), (146, 6), (324, 1), (449, 3)]"
clamou,"[(52, 1)]"
democratas,"[(52, 1), (207, 7), (236, 1), (260, 1), (519, 2), (584, 1)]"
disputou,"[(52, 1), (147, 1)]"
falamos,"[(52, 1)]"
apreço,"[(52, 1), (219, 1)]"
testemunha,"[(52, 1), (61, 1), (327, 1)]"
classificou,"[(52, 1), (134, 1), (297, 1), (560, 1), (566, 1), (568, 1), (603, 1)]"
sexta-feira,"[(52, 1), (105, 1), (114, 1), (119, 2), (192, 2), (477, 1), (484, 1), (570, 1), (575, 1), (585, 2), (590, 1), (609, 1), (615, 1)]"
caravanas,"[(52, 1), (457, 1)]"
esforços,"[(52, 1), (130, 1), (572, 1), (632, 1)]"
convencesse,"[(52, 1)]"
largo,"[(52, 1), (55, 1), (146, 1), (545, 1)]"
guarujá,"[(52, 1), (62, 2), (513, 1), (525, 1), (554, 1)]"
inicia,"[(52, 1), (80, 1), (103, 1), (185, 1)]"
taline,"[(52, 1)]"
desmonte,"[(52, 1), (130, 1), (166, 2), (195, 1), (339, 1), (445, 1)]"
convicções.haddad,"[(52, 1)]"
caminhada,"[(52, 1), (54, 1), (124, 1), (146, 1), (324, 3), (613, 1)]"
discutir,"[(52, 1), (57, 2), (81, 1), (249, 1), (406, 2), (471, 1), (568, 1), (583, 2)]"
opptiz,"[(52, 1)]"
país.inspirado,"[(52, 1)]"
estará,"[(52, 1), (133, 1), (145, 1), (249, 1), (294, 1), (316, 1), (339, 1), (480, 1), (488, 1), (513, 1), (579, 1), (602, 1)]"
alega,"[(52, 1), (132, 1), (376, 1), (380, 1), (477, 1)]"
concentrados,"[(52, 1)]"
lula.,"[(52, 1)]"
vigília,"[(52, 1), (146, 1), (451, 1), (484, 1)]"
operação,"[(52, 1), (55, 2), (56, 2), (62, 1), (82, 1), (105, 1), (137, 1), (182, 1), (185, 1), (198, 3), (217, 1), (219, 2), (224, 1), (308, 1), (367, 3), (368, 5), (396, 1), (398, 2), (424, 1), (430, 2), (477, 3), (484, 1), (525, 1), (555, 1), (584, 2), (608, 1), (609, 2)]"
notáveis,"[(52, 1)]"
pcdob,"[(52, 1), (138, 1), (182, 1), (320, 1)]"
livre.o,"[(52, 1)]"
parágrafo,"[(52, 1), (61, 1)]"
governar,"[(52, 1), (104, 1), (174, 1), (239, 1), (277, 2), (292, 1), (309, 1), (418, 1), (552, 1)]"
viabilidade,"[(52, 1), (138, 1), (555, 1)]"
começa,"[(52, 2), (82, 1), (103, 2), (166, 1), (223, 1), (289, 1), (294, 1), (352, 2), (365, 1), (376, 1), (379, 1), (417, 1), (418, 1), (480, 1), (486, 1), (583, 1), (613, 1)]"
escassas,"[(52, 1)]"
relacionados,"[(52, 1), (123, 1), (266, 1), (367, 1), (398, 1), (424, 1), (430, 1)]"
negociado,"[(52, 1)]"
